is_active,slug,name,company_id,store_ids,region_type,mapping_country,mapping_regions,product_type,product_tag,channels
TRUE,gng-cross_regional-R394,GNG-Cross_Regional-R394,1,25743,pincode,659fe0ee27486e3397789833,"659fe0f027486e339778c7be,659fe0f027486e339778c77c",all,RD_GNG,687f61bed807939ae4c8b4d4
TRUE,gng-cross_regional-R804,GNG-Cross_Regional-R804,1,25745,pincode,659fe0ee27486e3397789833,"659fe0f027486e339778bee6,659fe0f027486e339778bf70",all,RD_GNG,687f61bed807939ae4c8b4d4
TRUE,gng-cross_regional-S3TP,GNG-Cross_Regional-S3TP,1,133136,pincode,659fe0ee27486e3397789833,"659fe0f027486e339778c800,659fe0f027486e339778c8ac",all,RD_GNG,687f61bed807939ae4c8b4d4
TRUE,gng-cross_regional-S0GZ,GNG-Cross_Regional-S0GZ,1,133130,pincode,659fe0ee27486e3397789833,"659fe0ef27486e339778b6d0,659fe0ef27486e339778b65c,659fe0ef27486e339778b786,659fe0ef27486e339778b699,659fe0ef27486e339778b5e0,659fe0ef27486e339778b620,659fe0ef27486e339778b792,659fe0ef27486e339778b5df,659fe0ef27486e339778b7c8,659fe0ef27486e339778b953,659fe0ef27486e339778b81f",all,RD_GNG,687f61bed807939ae4c8b4d4
TRUE,gng-cross_regional-SC28,GNG-Cross_Regional-SC28,1,133139,pincode,659fe0ee27486e3397789833,"659fe0f027486e339778c89b,659fe0f027486e339778c7f6,659fe0f027486e339778c6d4,659fe0f027486e339778c71d,659fe0f027486e339778c8f0,659fe0f027486e339778c80e,659fe0f027486e339778c886,659fe0f027486e339778c773,659fe0f027486e339778c73b,659fe0f027486e339778c7a4,659fe0f027486e339778c8ab,659fe0f027486e339778c746,659fe0f027486e339778c839,659fe0f027486e339778c68d,659fe0f027486e339778c724,659fe0f027486e339778c870,659fe0f027486e339778c679,659fe0f027486e339778c80d,659fe0f027486e339778c7ab,659fe0f027486e339778c800,659fe0f027486e339778c798",all,RD_GNG,687f61bed807939ae4c8b4d4
TRUE,gng-cross_regional-SLTY,GNG-Cross_Regional-SLTY,1,133129,pincode,659fe0ee27486e3397789833,"659fe0ef27486e339778b5fe,659fe0ef27486e339778b55d,659fe0ef27486e339778b6c9,659fe0ef27486e339778b645,659fe0ef27486e339778b715,659fe0ef27486e339778b49e,659fe0ef27486e339778b733,659fe0ef27486e339778b67f,659fe0ef27486e339778b4fa,659fe0ef27486e339778b731,659fe0ef27486e339778b9dd,659fe0ef27486e339778b953",all,RD_GNG,687f61bed807939ae4c8b4d4
TRUE,gng-cross_regional-V014,GNG-Cross_Regional-V014,1,25755,pincode,659fe0ee27486e3397789833,"659fe0ef27486e339778b953,659fe0ef27486e339778b81f,659fe0f027486e339778d6a4",all,RD_GNG,687f61bed807939ae4c8b4d4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
